page,pageviews,sessions,users
Editar Área de texto e mídia: Produtividade com IA: Casos de Uso e Análise Efeitos | IAG-MKTDigital. Freemium | Classplay,0.0,0,3.0
Editar Área de texto e mídia: Quer acessar esse curso e aprender tudo sobre o uso de I.A para construção de marca? Solicite acesso ao curso completo em (redacted) | MINI.BRANDING-FREE | Classplay,0.0,0,3.0
Editar Área de texto e mídia: label491 | MundoAgents Freemium | Classplay,0.0,0,3.0
Erro | Classplay,0.0,0,3.0
Formulário de registro | Classplay,0.0,0,3.0
Giulia Wada: Perfil público | Classplay,0.0,0,3.0
Grupos | Classplay,0.0,0,3.0
Introdução à Inteligência Artificial Generativa,0.0,0,3.0
Logos | Aparência | Administração | Classplay,0.0,0,3.0
MINI.BRANDING-FREE: Participantes | Classplay,0.0,0,3.0
MundoAgents : Workflow - Do Tom de Voz à Postagem | Classplay,0.0,0,3.0
MundoAgents: Criando seu Assistente IA - Parte 1 | Classplay,0.0,0,3.0
Módulos do Curso,0.0,0,3.0
Novo Área de texto e mídia | LAPISRARO.0925T1 | Classplay,0.0,0,3.0
O Básico de IAGen no MKT Digital,0.0,0,3.0
Onboarding de Professores(as),0.0,0,3.0
Prompts Freemium | Classplay,0.0,0,3.0
Seção: . | Modelos de IA | Classplay,0.0,0,3.0
Seção: Criando consistência de tom de voz e estilo para a sua marca com Custom Instructions | IA + Branding | Classplay,0.0,0,3.0
TEMPLO.FCA | Classplay,0.0,0,3.0
TEMPLO.FCA: Apresentação Aula 1 Módulo 3 | Classplay,0.0,0,3.0
TEMPLO.FCA: Apresentação aula 2/3/extra - módulo 1 | Classplay,0.0,0,3.0
Thiago Manojo: Perfil público | Classplay,0.0,0,3.0
Todos os cursos | Classplay,0.0,0,3.0
Turma Brasas 2 - IA+Edu,0.0,0,3.0
Vincenzo Zandoná: Perfil público | Classplay,0.0,0,3.0
Workflows,0.0,0,3.0
AGENTS-FREEMIUM: Participantes | Classplay,0.0,0,2.0
Acylino do Amaral Mariano Junior: Perfil público | Classplay,0.0,0,2.0
Adicionar um novo usuário | Contas | Usuários | Administração | Classplay,0.0,0,2.0
Agente Generativo: Perfil pessoal: Acylino do Amaral Mariano Junior | Classplay,0.0,0,2.0
Assinantes | Classplay,0.0,0,2.0
Atividades do curso: Biblioteca de Prompts | Classplay,0.0,0,2.0
Atividades do curso: Ferramentas | Classplay,0.0,0,2.0
Atividades do curso: Introdução à IA Generativa | Classplay,0.0,0,2.0
Atividades do curso: Lápis Raro | Classplay,0.0,0,2.0
Atividades do curso: Modelos de IA | Classplay,0.0,0,2.0
Atividades do curso: O Básico de IAGen no Marketing Digital | Classplay,0.0,0,2.0
Atividades do curso: Podcasts | Classplay,0.0,0,2.0
Avisos | Administração | Classplay,0.0,0,2.0
BRASASJOR.0925T1: Participantes | Classplay,0.0,0,2.0
Biblioteca de Agentes: Perfil pessoal: Camilla Magalhaes Silva | Classplay,0.0,0,2.0
Biblioteca de Agentes: Perfil pessoal: Eder Antonio Milani Bernardes | Classplay,0.0,0,2.0
Classplay: Logs da última hora | Classplay,0.0,0,2.0
Classplay: teste classplay: teste classplay | Classplay,0.0,0,2.0
Configurações de filtro em Curso: 🔒 O Mundo dos Agents | Classplay,0.0,0,2.0
Configurações padrão dos cursos | Configurações padrão | Cursos | Administração | Classplay,0.0,0,2.0
Contato do Templo,0.0,0,2.0
Controle,0.0,0,2.0
Coortes | Classplay,0.0,0,2.0
Cores do cartão do curso. | Aparência | Administração | Classplay,0.0,0,2.0
Current release information | Classplay,0.0,0,2.0
Curso:  Acessar Agentes | Classplay,0.0,0,2.0
Cursos,0.0,0,2.0
DANNEMANNIA .0225T1: Playlist de Estudos Módulo 1 | Classplay,0.0,0,2.0
Demonstrações ao usuário | Aparência | Administração | Classplay,0.0,0,2.0
Documentação: Classplay - Moodle,0.0,0,2.0
EBOOKS: What Are ChatGPT and Its Friends? | Classplay,0.0,0,2.0
Editar AI Agents: Agentes IA | AGENTESIA | Classplay,0.0,0,2.0
Editar AI Prompts: Prompts Freemium | PROMPTSFREE | Classplay,0.0,0,2.0
